lyrics,artiste
Looking for some education,Adele
Made my way into the night,Adele
All that bullshit conversation,Adele
Baby can't you read the signs? I won't bore you with the details baby,Adele
I don't even wanna waste your time,Adele
Let's just say that maybe,Adele
You could help me ease my mind,Adele
I ain't Mr. Right But if you're looking for fast love,Adele
If that's love in your eyes,Adele
It's more than enough,Adele
Had some bad love,Adele
So fast love is all that I've got on my mind Ooh ooh,Adele
Ooh ooh Looking for some affirmation,Adele
Made my way into the sun,Adele
My friends got their ladies,Adele
And they're all having babies,Adele
I just wanna have some fun I won't bore you with the details baby,Adele
I don't even wanna waste your time,Adele
Let's just say that maybe,Adele
You could help me ease my mind,Adele
I ain't Mr. Right But if you're looking for fast love,Adele
If that's love in your eyes,Adele
It's more than enough,Adele
I've had some bad love,Adele
So fast love is all that I've got on my mind Ooh ooh,Adele
Baby baby,Adele
Ooh ooh,Adele
Baby baby,Adele
Ooh ooh,Adele
Baby baby,Adele
Ooh In the absence of security,Adele
I made my way into the night,Adele
Stupid cupid keeps on calling me,Adele
And I see nothing in his eyes,Adele
I miss my baby,Adele
Oh I I miss my baby,Adele
I miss my baby,Adele
I miss I miss I miss I miss my baby,Adele
Ooh I I miss my baby I don't want you to be no slave,Adele
I don't want you to work all day,Adele
But I want you to be true,Adele
And I just want to make love to you,Adele
Love to you ooh baby,Adele
Love to you yeah All I want to do is wash your clothes,Adele
I don't want to keep you indoors,Adele
There is nothing you can't do,Adele
But keep me making love to me,Adele
Love to me ooh baby,Adele
Love to you yeah And I can tell by the way you walk that walk,Adele
And I can hear by the way you talk that talk,Adele
And I can know by the way you treat your girl,Adele
That I can give you all the loving in the whole wide world All I want you to do is make your bread,Adele
Just to make sure you're well fed,Adele
I don't want you sad and blue,Adele
And I just want to make love to you,Adele
Love to you ooh yeah,Adele
Love to you yeah And I can tell by the way you walk that walk,Adele
And I can hear by the way you talk that talk,Adele
And I can know by the way you treat your girl,Adele
That I can give you all the loving in the whole wide world All I want you to do baby is make your bread,Adele
Just to make sure you're well fed,Adele
I don't want you sad and blue,Adele
And I just want to make love to you,Adele
Love to you ooh yeah,Adele
Love to you yeah,Adele
Oh I just want to make love to you Happy New Year! I heard that you're settled down,Adele
That you found a girl and you're married now,Adele
I heard that your dreams came true,Adele
Guess she gave you things I didn't give to you Old friend why are you so shy?,Adele
Ain't like you to hold back or hide from the light I hate to turn up out of the blue uninvited,Adele
But I couldn't stay away I couldn't fight it,Adele
I had hoped you'd see my face and that you'd be reminded,Adele
That for me it isn't over Never mind I'll find someone like you,Adele
I wish nothing but the best for you two,Adele
Don't forget me I beg I remember you said,Adele
Sometimes it lasts in love but sometimes it hurts instead,Adele
Sometimes it lasts in love but sometimes it hurts instead You know how the time flies,Adele
Only yesterday was the time of our lives,Adele
We were born and raised in a summer haze,Adele
Bound by the surprise of our glory days I hate to turn up out of the blue uninvited,Adele
But I couldn't stay away I couldn't fight it,Adele
I had hoped you'd see my face and that you'd be reminded,Adele
That for me it isn't over Never mind I'll find someone like you,Adele
I wish nothing but the best for you two,Adele
Don't forget me I beg I remember you said,Adele
Sometimes it lasts in love but sometimes it hurts instead yeah Nothing compares no worries or cares,Adele
Regrets and mistakes they're memories made,Adele
